ros-noetic-actionlib	1.14.3-1focal.20250519.235901
ros-noetic-actionlib-msgs	1.13.2-1focal.20250426.013228
ros-noetic-actionlib-tutorials	0.2.0-1focal.20250520.000327
ros-noetic-amcl	1.17.3-1focal.20250521.001518
ros-noetic-angles	1.9.14-1focal.20250426.230930
ros-noetic-base-local-planner	1.17.3-1focal.20250521.005206
ros-noetic-bond	1.8.7-1focal.20250426.013629
ros-noetic-bond-core	1.8.7-1focal.20250519.232600
ros-noetic-bondcpp	1.8.7-1focal.20250519.230329
ros-noetic-bondpy	1.8.7-1focal.20250519.232145
ros-noetic-camera-calibration	1.17.0-1focal.20250520.005809
ros-noetic-camera-calibration-parsers	1.12.1-1focal.20250519.235403
ros-noetic-camera-info-manager	1.12.1-1focal.20250520.000220
ros-noetic-carrot-planner	1.17.3-1focal.20250521.010103
ros-noetic-catkin	0.8.12-1focal.20250426.001935
ros-noetic-class-loader	0.5.2-1focal.20250426.005342
ros-noetic-clear-costmap-recovery	1.17.3-1focal.20250521.005210
ros-noetic-cmake-modules	0.5.2-1focal.20250426.003525
ros-noetic-common-msgs	1.13.2-1focal.20250520.013139
ros-noetic-common-tutorials	0.2.0-1focal.20250520.001345
ros-noetic-compressed-depth-image-transport	1.15.0-1focal.20250521.004155
ros-noetic-compressed-image-transport	1.15.0-1focal.20250521.004234
ros-noetic-controller-interface	0.20.0-1focal.20250519.231323
ros-noetic-controller-manager	0.20.0-1focal.20250520.005452
ros-noetic-controller-manager-msgs	0.20.0-1focal.20250519.235753
ros-noetic-control-msgs	1.5.2-1focal.20250426.013409
ros-noetic-control-toolbox	1.19.0-1focal.20250521.003230
ros-noetic-costmap-2d	1.17.3-1focal.20250521.001646
ros-noetic-cpp-common	0.7.3-1focal.20250426.004527
ros-noetic-cv-bridge	1.16.2-1focal.20250519.235655
ros-noetic-depth-image-proc	1.17.0-1focal.20250520.012250
ros-noetic-desktop	1.5.0-1focal.20250521.014654
ros-noetic-desktop-full	1.5.0-1focal.20250521.014741
ros-noetic-diagnostic-aggregator	1.12.1-1focal.20250519.233912
ros-noetic-diagnostic-analysis	1.12.1-1focal.20250519.234837
ros-noetic-diagnostic-common-diagnostics	1.12.1-1focal.20250520.004213
ros-noetic-diagnostic-msgs	1.13.2-1focal.20250426.013751
ros-noetic-diagnostics	1.12.1-1focal.20250520.004640
ros-noetic-diagnostic-updater	1.12.1-1focal.20250519.233305
ros-noetic-diff-drive-controller	0.22.0-1focal.20250521.001737
ros-noetic-dwa-local-planner	1.17.3-1focal.20250521.005823
ros-noetic-dynamic-reconfigure	1.7.6-1focal.20250521.000900
ros-noetic-eigen-conversions	1.13.4-1focal.20250426.012425
ros-noetic-executive-smach	2.5.3-1focal.20250520.015747
ros-noetic-fake-localization	1.17.3-1focal.20250520.001758
ros-noetic-filters	1.9.3-1focal.20250519.233517
ros-noetic-forward-command-controller	0.22.0-1focal.20250520.000736
ros-noetic-gazebo-dev	2.9.3-1focal.20250426.005053
ros-noetic-gazebo-msgs	2.9.3-1focal.20250520.004928
ros-noetic-gazebo-plugins	2.9.3-1focal.20250521.004734
ros-noetic-gazebo-ros	2.9.3-1focal.20250521.003802
ros-noetic-gazebo-ros-control	2.9.3-1focal.20250521.005335
ros-noetic-gazebo-ros-pkgs	2.9.3-1focal.20250521.011748
ros-noetic-gencpp	0.7.2-1focal.20250426.005903
ros-noetic-geneus	3.0.0-1focal.20250426.010129
ros-noetic-genlisp	0.4.18-1focal.20250426.005852
ros-noetic-genmsg	0.6.1-1focal.20250426.005243
ros-noetic-gennodejs	2.0.2-1focal.20250426.005653
ros-noetic-genpy	0.6.18-1focal.20250426.005606
ros-noetic-geographic-msgs	0.5.6-1focal.20250426.013201
ros-noetic-geometry	1.13.4-1focal.20250520.021541
ros-noetic-geometry-msgs	1.13.2-1focal.20250426.011953
ros-noetic-geometry-tutorials	0.2.4-1focal.20250520.022154
ros-noetic-gl-dependency	1.1.4-1focal.20250426.003855
ros-noetic-global-planner	1.17.3-1focal.20250521.005728
ros-noetic-hardware-interface	0.20.0-1focal.20250519.231100
ros-noetic-image-common	1.12.1-1focal.20250520.015250
ros-noetic-image-geometry	1.16.2-1focal.20250520.005312
ros-noetic-image-pipeline	1.17.0-1focal.20250521.010122
ros-noetic-image-proc	1.17.0-1focal.20250521.004322
ros-noetic-image-publisher	1.17.0-1focal.20250521.003823
ros-noetic-image-rotate	1.17.0-1focal.20250521.003149
ros-noetic-image-transport	1.12.1-1focal.20250519.235437
ros-noetic-image-transport-plugins	1.15.0-1focal.20250521.012022
ros-noetic-image-view	1.17.0-1focal.20250521.003902
ros-noetic-interactive-markers	1.12.2-1focal.20250520.002353
ros-noetic-interactive-marker-tutorials	0.11.2-1focal.20250520.002856
ros-noetic-joint-limits-interface	0.20.0-1focal.20250519.234747
ros-noetic-joint-state-controller	0.22.0-1focal.20250520.000738
ros-noetic-joint-state-publisher	1.15.2-1focal.20250519.235627
ros-noetic-joint-state-publisher-gui	1.15.2-1focal.20250519.235716
ros-noetic-kdl-conversions	1.13.4-1focal.20250426.014106
ros-noetic-kdl-parser	1.14.2-1focal.20250519.234758
ros-noetic-laser-assembler	1.7.8-1focal.20250520.003141
ros-noetic-laser-filters	1.9.1-2focal.20250521.004125
ros-noetic-laser-geometry	1.6.8-1focal.20250520.002454
ros-noetic-laser-pipeline	1.6.4-1focal.20250521.012210
ros-noetic-librviz-tutorial	0.11.2-1focal.20250520.011204
ros-noetic-map-msgs	1.14.2-1focal.20250519.235841
ros-noetic-map-server	1.17.3-1focal.20250519.233856
ros-noetic-media-export	0.3.0-1focal.20250426.005754
ros-noetic-message-filters	1.17.4-1focal.20250519.233523
ros-noetic-message-generation	0.4.1-1focal.20250426.010337
ros-noetic-message-runtime	0.4.13-1focal.20250426.011132
ros-noetic-mk	1.15.10-1focal.20250426.230532
ros-noetic-move-base	1.17.3-1focal.20250521.010519
ros-noetic-move-base-msgs	1.14.2-1focal.20250516.000952
ros-noetic-move-slow-and-clear	1.17.3-1focal.20250521.005242
ros-noetic-nav-core	1.17.3-1focal.20250521.004844
ros-noetic-navfn	1.17.3-1focal.20250521.005304
ros-noetic-navigation	1.17.3-1focal.20250521.011054
ros-noetic-nav-msgs	1.13.2-1focal.20250426.013359
ros-noetic-nodelet	1.11.2-1focal.20250519.231850
ros-noetic-nodelet-core	1.11.2-1focal.20250521.010457
ros-noetic-nodelet-topic-tools	1.11.2-1focal.20250521.003920
ros-noetic-nodelet-tutorial-math	0.2.0-1focal.20250519.232311
ros-noetic-pcl-conversions	1.7.4-1focal.20250520.005606
ros-noetic-pcl-msgs	0.3.0-1focal.20250520.005335
ros-noetic-pcl-ros	1.7.4-1focal.20250521.004323
ros-noetic-perception	1.5.0-1focal.20250521.013504
ros-noetic-perception-pcl	1.7.4-1focal.20250521.013426
ros-noetic-pluginlib	1.13.2-1focal.20250426.231402
ros-noetic-pluginlib-tutorials	0.2.0-1focal.20250519.231312
ros-noetic-polled-camera	1.12.1-1focal.20250520.000507
ros-noetic-position-controllers	0.22.0-1focal.20250520.000937
ros-noetic-python-qt-binding	0.4.6-1focal.20250426.201332
ros-noetic-qt-dotgraph	0.4.5-1focal.20250426.202029
ros-noetic-qt-gui	0.4.5-1focal.20250426.202313
ros-noetic-qt-gui-cpp	0.4.5-1focal.20250427.060425
ros-noetic-qt-gui-py-common	0.4.5-1focal.20250426.201640
ros-noetic-qwt-dependency	1.1.1-2focal.20250426.010052
ros-noetic-realtime-tools	1.16.1-1focal.20250520.000413
ros-noetic-resource-retriever	1.12.10-1focal.20250426.231456
ros-noetic-robot	1.5.0-1focal.20250521.012857
ros-noetic-robot-state-publisher	1.15.3-1focal.20250520.002451
ros-noetic-ros	1.15.10-1focal.20250426.231030
ros-noetic-rosbag	1.17.4-1focal.20250519.234429
ros-noetic-rosbag-migration-rule	1.0.2-1focal.20250426.010122
ros-noetic-rosbag-storage	1.17.4-1focal.20250519.233542
ros-noetic-ros-base	1.5.0-1focal.20250521.010531
ros-noetic-rosbash	1.15.10-1focal.20250426.230519
ros-noetic-rosboost-cfg	1.15.10-1focal.20250426.201140
ros-noetic-rosbuild	1.15.10-1focal.20250426.201143
ros-noetic-rosclean	1.15.10-1focal.20250426.201147
ros-noetic-ros-comm	1.17.4-1focal.20250520.000923
ros-noetic-rosconsole	1.14.4-1focal.20250426.230918
ros-noetic-rosconsole-bridge	0.5.5-1focal.20250426.231403
ros-noetic-ros-core	1.5.0-1focal.20250520.015810
ros-noetic-roscpp	1.17.4-1focal.20250519.225343
ros-noetic-roscpp-core	0.7.3-1focal.20250426.011153
ros-noetic-roscpp-serialization	0.7.3-1focal.20250426.010742
ros-noetic-roscpp-traits	0.7.3-1focal.20250426.010711
ros-noetic-roscpp-tutorials	0.10.3-1focal.20250519.231628
ros-noetic-roscreate	1.15.10-1focal.20250426.230758
ros-noetic-ros-environment	1.3.2-1focal.20250426.010109
ros-noetic-rosgraph	1.17.4-1focal.20250519.224802
ros-noetic-rosgraph-msgs	1.11.4-1focal.20250426.012754
ros-noetic-roslang	1.15.10-1focal.20250426.201201
ros-noetic-roslaunch	1.17.4-1focal.20250519.232645
ros-noetic-roslib	1.15.10-1focal.20250426.230521
ros-noetic-roslint	0.12.0-1focal.20250426.010138
ros-noetic-roslisp	1.9.25-1focal.20250426.230524
ros-noetic-roslz4	1.17.4-1focal.20250519.224812
ros-noetic-rosmake	1.15.10-1focal.20250426.201209
ros-noetic-rosmaster	1.17.4-1focal.20250519.225411
ros-noetic-rosmsg	1.17.4-1focal.20250519.234838
ros-noetic-rosnode	1.17.4-1focal.20250519.235748
ros-noetic-rosout	1.17.4-1focal.20250519.231643
ros-noetic-rospack	2.6.4-1focal.20250426.230225
ros-noetic-rosparam	1.17.4-1focal.20250519.225309
ros-noetic-rospy	1.17.4-1focal.20250519.231646
ros-noetic-rospy-tutorials	0.10.3-1focal.20250519.233633
ros-noetic-rosservice	1.17.4-1focal.20250519.235234
ros-noetic-rostest	1.17.4-1focal.20250519.233130
ros-noetic-rostime	0.7.3-1focal.20250426.004754
ros-noetic-rostopic	1.17.4-1focal.20250519.235106
ros-noetic-ros-tutorials	0.10.3-1focal.20250519.233900
ros-noetic-rosunit	1.15.10-1focal.20250426.230759
ros-noetic-roswtf	1.17.4-1focal.20250519.235947
ros-noetic-rotate-recovery	1.17.3-1focal.20250521.010109
ros-noetic-rqt-action	0.4.11-1focal.20250520.001424
ros-noetic-rqt-bag	0.5.3-1focal.20250519.235942
ros-noetic-rqt-bag-plugins	0.5.3-1focal.20250520.001317
ros-noetic-rqt-common-plugins	0.4.11-1focal.20250521.005128
ros-noetic-rqt-console	0.4.14-1focal.20250520.001205
ros-noetic-rqt-dep	0.4.14-1focal.20250520.000033
ros-noetic-rqt-graph	0.4.16-1focal.20250519.235907
ros-noetic-rqt-gui	0.5.5-1focal.20250519.232427
ros-noetic-rqt-gui-cpp	0.5.5-1focal.20250519.232315
ros-noetic-rqt-gui-py	0.5.5-1focal.20250519.233238
ros-noetic-rqt-image-view	0.4.19-1focal.20250520.001352
